pr_date,age_group,count_of_case
2022-06-09,70 years old and above,219
2022-06-10,70 years old and above,206
2022-06-11,70 years old and above,222
2022-06-12,70 years old and above,179
2022-06-13,70 years old and above,172
2022-06-14,70 years old and above,283
2022-06-15,70 years old and above,261
2022-06-16,70 years old and above,237
2022-06-17,70 years old and above,302
2022-06-18,70 years old and above,250
2022-06-19,70 years old and above,229
2022-06-20,70 years old and above,186
2022-06-21,70 years old and above,388
2022-06-22,70 years old and above,337
2022-06-23,70 years old and above,385
2022-06-24,70 years old and above,396
2022-06-25,70 years old and above,392
2022-06-26,70 years old and above,335
2022-06-27,70 years old and above,293
2022-06-28,70 years old and above,694
2022-06-29,70 years old and above,615
2022-06-30,70 years old and above,605
2022-07-01,70 years old and above,652
2022-07-02,70 years old and above,598
2022-07-03,70 years old and above,467
2022-07-04,70 years old and above,406
2022-07-05,70 years old and above,754
2022-07-06,70 years old and above,644
2022-06-09,60 - 69 years old,333
2022-06-10,60 - 69 years old,283
2022-06-11,60 - 69 years old,305
2022-06-12,60 - 69 years old,250
2022-06-13,60 - 69 years old,192
2022-06-14,60 - 69 years old,477
2022-06-15,60 - 69 years old,341
2022-06-16,60 - 69 years old,350
2022-06-17,60 - 69 years old,352
2022-06-18,60 - 69 years old,344
2022-06-19,60 - 69 years old,259
2022-06-20,60 - 69 years old,240
2022-06-21,60 - 69 years old,653
2022-06-22,60 - 69 years old,478
2022-06-23,60 - 69 years old,505
2022-06-24,60 - 69 years old,623
2022-06-25,60 - 69 years old,578
2022-06-26,60 - 69 years old,456
2022-06-27,60 - 69 years old,394
2022-06-28,60 - 69 years old,936
2022-06-29,60 - 69 years old,734
2022-06-30,60 - 69 years old,838
2022-07-01,60 - 69 years old,841
2022-07-02,60 - 69 years old,782
2022-07-03,60 - 69 years old,569
2022-07-04,60 - 69 years old,510
2022-07-05,60 - 69 years old,1146
2022-07-06,60 - 69 years old,912
2022-06-09,40 - 59 years old,884
2022-06-10,40 - 59 years old,798
2022-06-11,40 - 59 years old,840
2022-06-12,40 - 59 years old,618
2022-06-13,40 - 59 years old,595
2022-06-14,40 - 59 years old,1442
2022-06-15,40 - 59 years old,1016
2022-06-16,40 - 59 years old,1002
2022-06-17,40 - 59 years old,1059
2022-06-18,40 - 59 years old,977
2022-06-19,40 - 59 years old,773
2022-06-20,40 - 59 years old,774
2022-06-21,40 - 59 years old,1948
2022-06-22,40 - 59 years old,1445
2022-06-23,40 - 59 years old,1630
2022-06-24,40 - 59 years old,1658
2022-06-25,40 - 59 years old,1530
2022-06-26,40 - 59 years old,1340
2022-06-27,40 - 59 years old,1331
2022-06-28,40 - 59 years old,3170
2022-06-29,40 - 59 years old,2480
2022-06-30,40 - 59 years old,2479
2022-07-01,40 - 59 years old,2405
2022-07-02,40 - 59 years old,2154
2022-07-03,40 - 59 years old,1707
2022-07-04,40 - 59 years old,1601
2022-07-05,40 - 59 years old,3556
2022-07-06,40 - 59 years old,2622
2022-06-09,20 - 39 years old,1310
2022-06-10,20 - 39 years old,1087
2022-06-11,20 - 39 years old,1118
2022-06-12,20 - 39 years old,867
2022-06-13,20 - 39 years old,867
2022-06-14,20 - 39 years old,1849
2022-06-15,20 - 39 years old,1425
2022-06-16,20 - 39 years old,1538
2022-06-17,20 - 39 years old,1446
2022-06-18,20 - 39 years old,1333
2022-06-19,20 - 39 years old,1131
2022-06-20,20 - 39 years old,1180
2022-06-21,20 - 39 years old,2428
2022-06-22,20 - 39 years old,2158
2022-06-23,20 - 39 years old,2422
2022-06-24,20 - 39 years old,2237
2022-06-25,20 - 39 years old,2136
2022-06-26,20 - 39 years old,1644
2022-06-27,20 - 39 years old,1899
2022-06-28,20 - 39 years old,3930
2022-06-29,20 - 39 years old,3298
2022-06-30,20 - 39 years old,3388
2022-07-01,20 - 39 years old,3136
2022-07-02,20 - 39 years old,2742
2022-07-03,20 - 39 years old,2039
2022-07-04,20 - 39 years old,2153
2022-07-05,20 - 39 years old,4576
2022-07-06,20 - 39 years old,3489
2022-06-09,12 - 19 years old,195
2022-06-10,12 - 19 years old,175
2022-06-11,12 - 19 years old,196
2022-06-12,12 - 19 years old,169
2022-06-13,12 - 19 years old,155
2022-06-14,12 - 19 years old,243
2022-06-15,12 - 19 years old,208
2022-06-16,12 - 19 years old,217
2022-06-17,12 - 19 years old,211
2022-06-18,12 - 19 years old,215
2022-06-19,12 - 19 years old,177
2022-06-20,12 - 19 years old,199
2022-06-21,12 - 19 years old,416
2022-06-22,12 - 19 years old,354
2022-06-23,12 - 19 years old,424
2022-06-24,12 - 19 years old,397
2022-06-25,12 - 19 years old,418
2022-06-26,12 - 19 years old,366
2022-06-27,12 - 19 years old,416
2022-06-28,12 - 19 years old,910
2022-06-29,12 - 19 years old,740
2022-06-30,12 - 19 years old,660
2022-07-01,12 - 19 years old,649
2022-07-02,12 - 19 years old,548
2022-07-03,12 - 19 years old,417
2022-07-04,12 - 19 years old,397
2022-07-05,12 - 19 years old,910
2022-07-06,12 - 19 years old,780
2022-06-09,0 - 11 years old,296
2022-06-10,0 - 11 years old,265
2022-06-11,0 - 11 years old,278
2022-06-12,0 - 11 years old,266
2022-06-13,0 - 11 years old,201
2022-06-14,0 - 11 years old,398
2022-06-15,0 - 11 years old,285
2022-06-16,0 - 11 years old,314
2022-06-17,0 - 11 years old,328
2022-06-18,0 - 11 years old,337
2022-06-19,0 - 11 years old,331
2022-06-20,0 - 11 years old,305
2022-06-21,0 - 11 years old,558
2022-06-22,0 - 11 years old,473
2022-06-23,0 - 11 years old,588
2022-06-24,0 - 11 years old,563
2022-06-25,0 - 11 years old,600
2022-06-26,0 - 11 years old,557
2022-06-27,0 - 11 years old,512
2022-06-28,0 - 11 years old,1092
2022-06-29,0 - 11 years old,922
2022-06-30,0 - 11 years old,959
2022-07-01,0 - 11 years old,909
2022-07-02,0 - 11 years old,815
2022-07-03,0 - 11 years old,666
