day_of_as_of_date,age_groups,clinical_status,count_of_case
2022-06-09,70 years old and above,Deceased (based on date of death),1
2022-06-10,70 years old and above,Deceased (based on date of death),1
2022-06-12,70 years old and above,Deceased (based on date of death),1
2022-06-13,70 years old and above,Deceased (based on date of death),1
2022-06-14,70 years old and above,Deceased (based on date of death),2
2022-06-16,70 years old and above,Deceased (based on date of death),1
2022-06-17,70 years old and above,Deceased (based on date of death),1
2022-06-19,70 years old and above,Deceased (based on date of death),1
2022-06-20,70 years old and above,Deceased (based on date of death),2
2022-06-22,70 years old and above,Deceased (based on date of death),2
2022-06-27,70 years old and above,Deceased (based on date of death),1
2022-06-29,70 years old and above,Deceased (based on date of death),4
2022-06-30,70 years old and above,Deceased (based on date of death),1
2022-07-01,70 years old and above,Deceased (based on date of death),2
2022-07-02,70 years old and above,Deceased (based on date of death),1
2022-07-04,70 years old and above,Deceased (based on date of death),3
2022-07-05,70 years old and above,Deceased (based on date of death),1
2022-06-09,70 years old and above,ICU,3
2022-06-10,70 years old and above,ICU,3
2022-06-11,70 years old and above,ICU,2
2022-06-12,70 years old and above,ICU,1
2022-06-13,70 years old and above,ICU,3
2022-06-14,70 years old and above,ICU,2
2022-06-15,70 years old and above,ICU,2
2022-06-16,70 years old and above,ICU,2
2022-06-17,70 years old and above,ICU,4
2022-06-18,70 years old and above,ICU,6
2022-06-19,70 years old and above,ICU,7
2022-06-20,70 years old and above,ICU,8
2022-06-21,70 years old and above,ICU,8
2022-06-22,70 years old and above,ICU,10
2022-06-23,70 years old and above,ICU,7
2022-06-24,70 years old and above,ICU,7
2022-06-25,70 years old and above,ICU,5
2022-06-26,70 years old and above,ICU,7
2022-06-27,70 years old and above,ICU,6
2022-06-28,70 years old and above,ICU,5
2022-06-29,70 years old and above,ICU,3
2022-06-30,70 years old and above,ICU,4
2022-07-01,70 years old and above,ICU,5
2022-07-02,70 years old and above,ICU,6
2022-07-03,70 years old and above,ICU,5
2022-07-04,70 years old and above,ICU,10
2022-07-05,70 years old and above,ICU,12
2022-07-06,70 years old and above,ICU,10
2022-06-09,70 years old and above,Requires Oxygen Supplementation in General Ward,18
2022-06-10,70 years old and above,Requires Oxygen Supplementation in General Ward,15
2022-06-11,70 years old and above,Requires Oxygen Supplementation in General Ward,20
