str_date,date,total_deaths,total_deaths_smoothed,0-12,13-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
Jan 2020,31/1/2020,0,0,0,0,0,0,0,0,0,0,0
Feb 2020,29/2/2020,0,0,0,0,0,0,0,0,0,0,0
Mar 2020,31/3/2020,3,1.001,0,0,0.00153295,0.003260466,0.013407413,0.080633147,0.276756357,0.691714015,1.932695653
Apr 2020,30/4/2020,15,11.864,0,0,0.007664748,0.016302329,0.067037064,0.403165737,1.383781787,3.458570073,9.663478263
May 2020,31/5/2020,23,21.58,0,0,0.011752613,0.024996905,0.102790165,0.618187464,2.121798739,5.303140778,14.81733334
Jun 2020,30/6/2020,26,24.583,0,0,0.013285563,0.02825737,0.116197578,0.698820611,2.398555097,5.994854792,16.75002899
Jul 2020,31/7/2020,27,25.584,0,0,0.013796546,0.029344192,0.120666715,0.725698327,2.490807216,6.225426131,17.39426087
Aug 2020,31/8/2020,27,25.584,0,0,0.013796546,0.029344192,0.120666715,0.725698327,2.490807216,6.225426131,17.39426087
Sep 2020,30/9/2020,27,25.584,0,0,0.013796546,0.029344192,0.120666715,0.725698327,2.490807216,6.225426131,17.39426087
Oct 2020,31/10/2020,28,26.585,0,0,0.014307529,0.030431014,0.125135853,0.752576043,2.583059335,6.455997469,18.03849276
Nov 2020,30/11/2020,29,27.014,0,0,0.014818513,0.031517836,0.12960499,0.779453759,2.675311454,6.686568807,18.68272464
Dec 2020,31/12/2020,29,27.586,0,0,0.014818513,0.031517836,0.12960499,0.779453759,2.675311454,6.686568807,18.68272464
Jan 2021,31/1/2021,29,27.586,0,0,0.014818513,0.031517836,0.12960499,0.779453759,2.675311454,6.686568807,18.68272464
Feb 2021,28/2/2021,29,27.586,0,0,0.014818513,0.031517836,0.12960499,0.779453759,2.675311454,6.686568807,18.68272464
Mar 2021,31/3/2021,30,28.587,0,0,0.015329496,0.032604658,0.134074128,0.806331475,2.767563573,6.917140145,19.32695653
Apr 2021,30/4/2021,30,28.587,0,0,0.015329496,0.032604658,0.134074128,0.806331475,2.767563573,6.917140145,19.32695653
May 2021,31/5/2021,33,30.875,0,0,0.016862445,0.035865124,0.147481541,0.886964622,3.044319931,7.60885416,21.25965218
Jun 2021,30/6/2021,36,34.307,0,0,0.018395395,0.03912559,0.160888954,0.96759777,3.321076288,8.300568174,23.19234783
Jul 2021,31/7/2021,37,35.594,0,0,0.018906378,0.040212412,0.165358091,0.994475486,3.413328407,8.531139512,23.83657971
Aug 2021,31/8/2021,55,52.309,0,0,0.028104075,0.059775207,0.245802568,1.47827437,5.073866551,12.6814236,35.43275363
Sep 2021,30/9/2021,95,81.455,0,0,0.048543403,0.103248084,0.424568072,2.553383004,8.763951315,21.90427713,61.202029
Oct 2021,31/10/2021,407,364.6,0,0,0.207970159,0.44233653,1.818939002,10.93923034,37.54661248,93.84253463,262.2023769
Nov 2021,30/11/2021,718,693.171,0,0,0.366885931,0.780338153,3.208840795,19.29819996,66.23702152,165.5502208,462.5584928
Dec 2021,31/12/2021,828,823.454,0,0,0.423094082,0.899888566,3.700445931,22.2547487,76.38475462,190.913068,533.4240001
Jan 2022,31/1/2022,855,850.879,0,0,0.436890628,0.929232759,3.821112646,22.98044703,78.87556184,197.1384941,550.818261
Feb 2022,28/2/2022,1019,985.022,0,0,0.520691871,1.107471557,4.554051212,27.38839243,94.00490937,234.9521936,656.47229
Mar 2022,31/3/2022,1268,1252.591,0,0,0.647926686,1.37809022,5.666866474,34.08094367,116.975687,292.3644568,816.8860291
Apr 2022,30/4/2022,1335,1330.878,0,0,0.682162559,1.45090729,5.966298693,35.88175063,123.156579,307.8127365,860.0495654
May 2022,31/5/2022,1389,1382.303,0,0,0.709755652,1.509595675,6.207632124,37.33314728,128.1381934,320.2635887,894.8380871
Jun 2022,30/6/2022,1413,1408.156,0,0,0.722019248,1.535679401,6.314891426,37.97821246,130.3522443,325.7973008,910.2996523
